clr_ratio,sensattr,arch,adv_coeff,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.01)",age,cfair,0.1,0.828962703962704,0.7196969696969697,0.8621794871794872,0.9024216524216525,0.6666666666666666
"(0.01, 0.01)",age,cfair,1.0,0.8461538461538461,0.7272727272727272,0.8717948717948718,0.9216524216524217,0.6794871794871794
"(0.01, 0.01)",age,cfair,10.0,0.7925407925407925,0.6931818181818182,0.8493589743589743,0.8746438746438746,0.6282051282051282
"(0.01, 0.01)",age,cfair,100.0,0.7202797202797203,0.6212121212121212,0.8397435897435898,0.8596866096866097,0.5192307692307693
"(0.01, 0.01)",age,cfair,1000.0,0.68502331002331,0.5909090909090909,0.8237179487179488,0.8454415954415954,0.4743589743589743
"(0.01, 0.01)",age,cfair-eo,0.1,0.9324009324009324,0.6742424242424242,0.8012820512820512,0.9786324786324787,0.8076923076923076
"(0.01, 0.01)",age,cfair-eo,1.0,0.905885780885781,0.6704545454545454,0.7948717948717948,0.9444444444444443,0.7884615384615384
"(0.01, 0.01)",age,cfair-eo,10.0,0.8986013986013986,0.6363636363636364,0.7948717948717948,0.9729344729344729,0.7564102564102564
"(0.01, 0.01)",age,cfair-eo,100.0,0.8851981351981352,0.6060606060606061,0.7884615384615384,0.9800569800569802,0.7307692307692307
"(0.01, 0.01)",age,cfair-eo,1000.0,0.9554195804195804,0.4886363636363636,0.6282051282051282,0.9907407407407408,0.8846153846153847
"(0.06, 0.36)",age,cfair,0.1,0.7226064943090078,0.7692307692307692,0.7694566813509546,0.710815148721101,0.7195301027900146
"(0.06, 0.36)",age,cfair,1.0,0.7807722207825861,0.7880844645550528,0.7716593245227606,0.7527507427517673,0.7929515418502202
"(0.06, 0.36)",age,cfair,10.0,0.902920910824513,0.8408748114630468,0.7738619676945668,0.8254482122733325,0.9618208516886931
"(0.06, 0.36)",age,cfair,100.0,0.9761064710533485,0.8024132730015082,0.748898678414097,0.9265512413345628,0.9676945668135096
"(0.06, 0.36)",age,cfair,1000.0,0.9768772300516275,0.7383107088989442,0.6923641703377386,0.9612471399788273,0.9500734214390603
"(0.06, 0.36)",age,cfair-eo,0.1,0.7974996843874792,0.6681749622926093,0.749632892804699,0.8658880579175632,0.7195301027900146
"(0.06, 0.36)",age,cfair-eo,1.0,0.8439578474561631,0.6960784313725491,0.7459618208516887,0.8809821398080798,0.7958883994126285
"(0.06, 0.36)",age,cfair-eo,10.0,0.961262715862353,0.7518853695324283,0.7290748898678414,0.9261824266639348,0.9706314243759177
"(0.06, 0.36)",age,cfair-eo,100.0,0.9821097534235653,0.7021116138763198,0.6828193832599118,0.9774203462759964,0.9720998531571219
"(0.06, 0.36)",age,cfair-eo,1000.0,0.9677776227400482,0.5776772247360483,0.5822320117474302,0.9735682819383261,0.9603524229074889
"(0.1, 0.1)",age,cfair,0.1,0.9636676926823234,0.7851115696993833,0.810304449648712,0.9865445745990901,0.9328649492583918
"(0.1, 0.1)",age,cfair,1.0,0.9637196929634794,0.7830792995667547,0.8161592505854801,0.9879724110677529,0.9297423887587821
"(0.1, 0.1)",age,cfair,10.0,0.9536060947189685,0.7789121803458721,0.8079625292740046,0.9797968433332042,0.9359875097580015
"(0.1, 0.1)",age,cfair,100.0,0.9379292549161519,0.7753629484812281,0.7943013270882123,0.9588280334890736,0.9828259172521467
"(0.1, 0.1)",age,cfair,1000.0,0.9397879788090728,0.7459360631403641,0.7423887587822015,0.9735058263057539,0.9711163153786105
"(0.1, 0.1)",age,cfair-eo,0.1,0.9729623917766582,0.6925853517251367,0.7701014832162373,0.9854382341331288,0.9078844652615145
"(0.1, 0.1)",age,cfair-eo,1.0,0.980451514719098,0.6806499885352931,0.7658079625292741,0.993863928027802,0.8969555035128804
"(0.1, 0.1)",age,cfair-eo,10.0,0.9822936682740432,0.6768424990647213,0.7568306010928961,0.9892367978879834,0.9102263856362217
"(0.1, 0.1)",age,cfair-eo,100.0,0.9760780929533498,0.6513763682222463,0.7138953942232632,0.982059776499451,0.9640905542544886
"(0.1, 0.1)",age,cfair-eo,1000.0,0.953621890662845,0.5684986061330147,0.6018735362997658,0.9710488141667658,0.957064793130367
"(0.33, 0.33)",age,cfair,0.1,0.9667235514295142,0.7875354107648725,0.8306559571619813,0.967763838860597,0.9352074966532798
"(0.33, 0.33)",age,cfair,1.0,0.9661027490509726,0.784859930752282,0.8295850066934404,0.9669468251010916,0.9360107095046853
"(0.33, 0.33)",age,cfair,10.0,0.9599755016288004,0.7843877872206484,0.8194109772423026,0.9706555891377652,0.9520749665327979
"(0.33, 0.33)",age,cfair,100.0,0.9177158113094492,0.7760465848284545,0.7926372155287819,0.9369031682284694,0.9788487282463185
"(0.33, 0.33)",age,cfair,1000.0,0.9290396714336099,0.7436260623229461,0.7412315930388219,0.9633779102664954,0.9759036144578314
"(0.33, 0.33)",age,cfair-eo,0.1,0.9862892552267617,0.7034938621340888,0.7866131191432396,0.9957456400631162,0.8961178045515394
"(0.33, 0.33)",age,cfair-eo,1.0,0.9889340174674143,0.697513377400063,0.7817938420348058,0.9881302989736724,0.9038821954484605
"(0.33, 0.33)",age,cfair-eo,10.0,0.9734336780549961,0.699874095058231,0.7643908969210175,0.979098064652654,0.9515394912985274
"(0.33, 0.33)",age,cfair-eo,100.0,0.9457892002381576,0.6720176266918476,0.7168674698795181,0.9689074741117967,0.9831325301204821
"(0.33, 0.33)",age,cfair-eo,1000.0,0.9582192793838242,0.5530374567201762,0.6080321285140563,0.9729713815169038,0.9718875502008032
"(0.5, 0.5)",age,cfair,0.1,0.9912591784805526,0.8058095238095238,0.8384223918575063,0.9727112218933375,0.9592875318066157
"(0.5, 0.5)",age,cfair,1.0,0.9879040348964013,0.8045714285714286,0.8358778625954199,0.9700429790236705,0.965103598691385
"(0.5, 0.5)",age,cfair,10.0,0.9617164667393676,0.7996190476190477,0.8245183569611051,0.9496959088979103,0.9860050890585241
"(0.5, 0.5)",age,cfair,100.0,0.9642639040348963,0.7771428571428571,0.7941657579062159,0.9605903430074321,0.9880043620501636
"(0.5, 0.5)",age,cfair,1000.0,0.9581039621955653,0.7504761904761904,0.7559069429298436,0.9631990200660417,0.9769174845510724
"(0.5, 0.5)",age,cfair-eo,0.1,0.9794896401308616,0.7451428571428571,0.797528171573973,0.9874575784512278,0.9222101054162123
"(0.5, 0.5)",age,cfair-eo,1.0,0.9877433660487095,0.7416190476190477,0.787350054525627,0.9860982560963317,0.9376590330788804
"(0.5, 0.5)",age,cfair-eo,10.0,0.9824332969829154,0.736095238095238,0.7653580516175936,0.9726470740968143,0.9843693202471827
"(0.5, 0.5)",age,cfair-eo,100.0,0.9814678298800437,0.7081904761904761,0.7325517993456924,0.9850856373083584,0.9774627408215194
"(0.5, 0.5)",age,cfair-eo,1000.0,0.9812715376226827,0.6550476190476191,0.6812977099236641,0.9791443294875203,0.9796437659033078
"(0.5, 0.5)",sex,cfair,0.1,0.8914118794346692,0.8211991434689508,0.7851585876720527,0.7751993358382264,0.8779174147217236
"(0.5, 0.5)",sex,cfair,1.0,0.9277471721276288,0.8244111349036403,0.7851585876720527,0.8095154190616333,0.9156193895870736
"(0.5, 0.5)",sex,cfair,10.0,0.9638005425721818,0.8301213418986438,0.7794733692399761,0.838774094516062,0.9581089168162777
"(0.5, 0.5)",sex,cfair,100.0,0.9566044771815975,0.8140613847251963,0.7501496110113705,0.918225875323628,0.952722920406942
"(0.5, 0.5)",sex,cfair,1000.0,0.9314576533560922,0.7805139186295503,0.7390783961699582,0.9073840375765715,0.9198084979054458
"(0.5, 0.5)",sex,cfair-eo,0.1,0.964113860707343,0.7351891506067094,0.7624177139437464,0.9016281805237417,0.9216038300418911
"(0.5, 0.5)",sex,cfair-eo,1.0,0.975163290647742,0.7387580299785869,0.7555356074207061,0.9022266245692235,0.9419509275882705
"(0.5, 0.5)",sex,cfair-eo,10.0,0.9752427414632021,0.7508922198429694,0.7447636146020348,0.9242880976305109,0.9634949132256133
"(0.5, 0.5)",sex,cfair-eo,100.0,0.9730123520388744,0.6987865810135617,0.7031717534410533,0.9442145382218433,0.9826451226810292
"(0.5, 0.5)",sex,cfair-eo,1000.0,0.9763025128242586,0.5417558886509636,0.5999401555954519,0.981765711537271,0.9820466786355476
