clr_ratio,sensattr,arch,adv_coeff,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.001, 0.001)",bck,cfair,0.1,"(0.5, 0.5)",0.6595219017094017,0.9632745726495727,0.6022970085470086,0.30842664181630663,0.9286133602904497
"(0.001, 0.001)",bck,cfair,1.0,"(0.5, 0.5)",0.5599626068376068,0.9558627136752135,0.5657051282051282,0.9506332118903064,0.15780930483014696
"(0.001, 0.001)",bck,cfair,10.0,"(0.5, 0.5)",0.4992654914529915,0.9522569444444445,0.5023370726495727,0.6456029489204844,0.34864498644986447
"(0.001, 0.001)",bck,cfair,100.0,"(0.5, 0.5)",0.5902777777777778,0.9483840811965812,0.5840010683760685,0.8156281800252957,0.3583971197290193
"(0.001, 0.001)",bck,cfair,1000.0,"(0.5, 0.5)",0.48985042735042733,0.9373664529914528,0.507011217948718,0.9211427066877304,0.04593495934959343
"(0.01, 0.01)",bck,cfair,0.1,"(0.5, 0.5)",0.7081997863247863,0.9565304487179488,0.6870993589743589,0.6927422759259642,0.7231473864921503
"(0.01, 0.01)",bck,cfair,1.0,"(0.5, 0.5)",0.7835202991452991,0.9579994658119658,0.717948717948718,0.8739616642001478,0.5925905370390558
"(0.01, 0.01)",bck,cfair,10.0,"(0.5, 0.5)",0.5102163461538461,0.9274172008547009,0.49779647435897445,0.375855869576389,0.6485094300353812
"(0.01, 0.01)",bck,cfair,100.0,"(0.5, 0.5)",0.6376201923076922,0.802951388888889,0.7412526709401709,0.6299119980176303,0.5696992872001049
"(0.01, 0.01)",bck,cfair,1000.0,"(0.5, 0.5)",0.49632745726495725,0.9425080128205128,0.5023370726495727,0.6478409689310163,0.3403794037940379
"(0.01, 0.99)",bck,cfair,0.1,"(0.5, 0.5)",0.09421741452991439,0.5355902777777778,0.5568242521367521,0.0859665061088734,0.102668732497971
