clr_ratio,sensattr,arch,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.001, 0.001)",bck,conv,"(0.5, 0.5)",0.9318910256410255,0.9660122863247863,0.8847489316239315,0.9839283042979013,0.8484504062838272
"(0.01, 0.01)",bck,conv,"(0.5, 0.5)",0.9889823717948718,0.9730235042735043,0.9495192307692307,0.9878708854854882,0.964792772673765
"(0.01, 0.99)",bck,conv,"(0.5, 0.5)",0.11585202991452985,0.49699519230769235,0.6161191239316239,0.010796143616938222,0.22389272653392925
"(0.1, 0.1)",bck,conv,"(0.5, 0.5)",0.9904513888888888,0.9680154914529915,0.9545272435897436,0.9903821367023631,0.9800991400812018
"(0.1, 0.9)",bck,conv,"(0.5, 0.5)",0.7863247863247863,0.9020432692307692,0.8603098290598291,0.830310729367637,0.7407599748488343
"(0.5, 0.5)",bck,conv,"(0.5, 0.5)",0.9881143162393161,0.9646768162393163,0.9564636752136751,0.9907912813186005,0.9803705832669866
"(0.5, 0.5)",bck,conv,"(0.75, 0.25)",0.9877804487179488,0.9573985042735043,0.9332264957264957,0.9797170171495364,0.962903241791459
"(0.5, 0.5)",bck,conv,"(0.9, 0.1)",0.9811698717948718,0.920673076923077,0.8695913461538461,0.965730991523955,0.9316365105950938
"(0.5, 0.5)",color_gy,conv,"(0.5, 0.5)",0.996594604649809,0.9593430803124373,0.9617979028918721,0.9968914674127602,0.9949803382633583
"(0.5, 0.5)",color_gy,conv,"(0.75, 0.25)",0.9400340333543031,0.9467921757126643,0.9438322313497629,0.9434424750084133,0.9358084767357223
"(0.5, 0.5)",color_gy,conv,"(0.9, 0.1)",0.8227061464491482,0.9105414246611924,0.8797168236158418,0.8552594032811682,0.7885761511008039
