clr_ratio,sensattr,arch,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.001, 0.001)",bck,mlp,"(0.5, 0.5)",0.5890090811965812,0.9670138888888888,0.5813301282051282,0.461341659369058,0.7204355974888478
"(0.01, 0.01)",bck,mlp,"(0.5, 0.5)",0.764155982905983,0.9591346153846153,0.7208199786324787,0.9603659748138357,0.5189139739832994
"(0.01, 0.99)",bck,mlp,"(0.5, 0.5)",0.14002403846153846,0.4959935897435898,0.6323450854700855,0.017645336843675568,0.26588107815251244
"(0.1, 0.1)",bck,mlp,"(0.5, 0.5)",0.9414396367521368,0.9662126068376069,0.8979700854700855,0.9149055659272105,0.9442001455772379
"(0.1, 0.9)",bck,mlp,"(0.5, 0.5)",0.6458333333333334,0.8199118589743589,0.8079594017094017,0.6624594366350148,0.6284722979289931
"(0.5, 0.5)",bck,mlp,"(0.5, 0.5)",0.9780982905982906,0.95826655982906,0.9384348290598291,0.9731297680223886,0.9733148773990788
"(0.5, 0.5)",bck,mlp,"(0.75, 0.25)",0.9680154914529915,0.9535256410256411,0.9305555555555555,0.9801159149453569,0.944076702246096
"(0.5, 0.5)",bck,mlp,"(0.9, 0.1)",0.9622061965811964,0.9026442307692308,0.8320646367521367,0.9001480639543074,0.9595573328752386
"(0.5, 0.5)",color_gy,mlp,"(0.5, 0.5)",0.9976619374250112,0.946925695974364,0.9497762639417617,0.9966025277925586,0.9947061971635565
"(0.5, 0.5)",color_gy,mlp,"(0.75, 0.25)",0.9334873404346262,0.9491287802924094,0.9349495759032926,0.9480464716857377,0.9177947801420313
"(0.5, 0.5)",color_gy,mlp,"(0.9, 0.1)",0.7620740899946092,0.8869083383403432,0.8477926935149936,0.8036705474560571,0.7186848715297393
