table_type,clr_ratio,sensattr,arch,DP_mean_max,0-acc_mean_max,1-acc_mean_max,EqOp0_mean_max,EqOp1_mean_max,DP_std_corresp,0-acc_std_corresp,1-acc_std_corresp,EqOp0_std_corresp,EqOp1_std_corresp
4,"(0.01, 0.01)",age,cfair,0.8461538461538461,0.7272727272727272,0.8717948717948718,0.9216524216524217,0.6794871794871794,0.0454965513275283,0.011363636363636354,0.014687742612037973,0.029478920351246284,0.061818274108929254
4,"(0.01, 0.01)",age,cfair-eo,0.9554195804195804,0.6742424242424242,0.8012820512820512,0.9907407407407408,0.8846153846153847,0.03413570662546619,0.006560798513518469,0.01110288979210823,0.016037507477489613,0.05087983290508833
4,"(0.06, 0.36)",age,cfair,0.9768772300516275,0.8408748114630468,0.7738619676945668,0.9612471399788273,0.9676945668135096,0.019191786843329867,0.012864797970763137,0.013458372085039173,0.028857100874498706,0.031253739579725
4,"(0.06, 0.36)",age,cfair-eo,0.9821097534235653,0.7518853695324283,0.749632892804699,0.9774203462759964,0.9720998531571219,0.016445734868557233,0.022320736933557683,0.004585167399705087,0.02192292038897365,0.029986164253542155
4,"(0.1, 0.1)",age,cfair,0.9637196929634794,0.7851115696993833,0.8161592505854801,0.9879724110677529,0.9828259172521467,0.008608505418240422,0.007418397104186263,0.004221956997030437,0.011045811713133817,0.013316722958026618
4,"(0.1, 0.1)",age,cfair-eo,0.9822936682740432,0.6925853517251367,0.7701014832162373,0.993863928027802,0.9640905542544886,0.01366108064370355,0.028084330774043292,0.009958899939245201,0.004737338356831781,0.015593274282153178
4,"(0.33, 0.33)",age,cfair,0.9667235514295142,0.7875354107648725,0.8306559571619813,0.9706555891377652,0.9788487282463185,0.005587176000810784,0.005566490142847775,0.0036218873516649735,0.01689438836296138,0.003962154909491007
4,"(0.33, 0.33)",age,cfair-eo,0.9889340174674143,0.7034938621340888,0.7866131191432396,0.9957456400631162,0.9831325301204821,0.0046824442747097185,0.012990383845323502,0.00402275212886661,0.007085282634681332,0.0147450279121974
4,"(0.5, 0.5)",age,cfair,0.9912591784805526,0.8058095238095238,0.8384223918575063,0.9727112218933375,0.9880043620501636,0.007107231018804795,0.001466171839841923,0.0006860990944448067,0.007138054456532336,0.005258261047433401
4,"(0.5, 0.5)",age,cfair-eo,0.9877433660487095,0.7451428571428571,0.797528171573973,0.9874575784512278,0.9843693202471827,0.0072761979014290094,0.007923099785064086,0.007731944119013451,0.005981738299926888,0.015806163286984167
4,"(0.5, 0.5)",sex,cfair,0.9638005425721818,0.8301213418986438,0.7851585876720527,0.918225875323628,0.9581089168162777,0.009691618390908985,0.007287857907445459,0.005104345334898821,0.024313516934031287,0.017712326256072726
4,"(0.5, 0.5)",sex,cfair-eo,0.9763025128242586,0.7508922198429694,0.7624177139437464,0.981765711537271,0.9826451226810292,0.011757179994466217,0.025162497840217412,0.007311066261442603,0.0035153214697883736,0.01919690596331002
4,"(0.66, 0.33)",age,cfair,0.9424533316976426,0.7826330532212885,0.8248175182481751,0.9626123196261233,0.9905109489051095,0.02302030982164501,0.006321167561006565,0.006225810988770727,0.019812391111166852,0.00812812315741613
4,"(0.66, 0.33)",age,cfair-eo,0.9786031200801487,0.7564425770308123,0.758029197080292,0.9851412878514129,0.9844282238442822,0.017714947702553593,0.002797616856503937,0.009354748626260042,0.015820094644479237,0.009526409708248989
