clr_ratio,sensattr,arch,gamma,alpha,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.01)",age,ffvae,10.0,10,0.8190559440559441,0.5075757575757577,0.7660256410256411,0.9650997150997153,0.6153846153846154
"(0.01, 0.01)",age,ffvae,10.0,100,0.8630536130536131,0.5568181818181818,0.7532051282051282,0.9786324786324787,0.7051282051282052
"(0.01, 0.01)",age,ffvae,10.0,1000,0.9102564102564102,0.5378787878787878,0.7307692307692308,0.9793447293447293,0.7628205128205128
"(0.01, 0.01)",age,ffvae,50.0,10,0.8108974358974358,0.5719696969696969,0.8076923076923078,0.9615384615384616,0.608974358974359
"(0.01, 0.01)",age,ffvae,50.0,100,0.7925407925407925,0.5151515151515151,0.7435897435897436,0.9401709401709403,0.6153846153846153
"(0.01, 0.01)",age,ffvae,50.0,1000,0.7875874125874126,0.5189393939393939,0.7692307692307693,0.9480056980056982,0.5897435897435898
"(0.01, 0.01)",age,ffvae,100.0,10,0.7738927738927739,0.5113636363636364,0.7724358974358975,0.9515669515669516,0.564102564102564
"(0.01, 0.01)",age,ffvae,100.0,100,0.8610139860139862,0.6060606060606061,0.7788461538461539,0.952991452991453,0.7115384615384617
"(0.01, 0.01)",age,ffvae,100.0,1000,0.8589743589743589,0.5151515151515151,0.7243589743589743,0.9622507122507122,0.6987179487179488
"(0.06, 0.36)",age,ffvae,10.0,10,0.6418462335798433,0.5135746606334841,0.6886930983847283,0.8035583785814295,0.4787077826725403
"(0.06, 0.36)",age,ffvae,10.0,100,0.760725842353207,0.4894419306184012,0.6336270190895742,0.8913362701908958,0.6299559471365638
"(0.06, 0.36)",age,ffvae,10.0,1000,0.8055760426841018,0.5135746606334841,0.6145374449339207,0.8931325342348803,0.7165932452276064
"(0.06, 0.36)",age,ffvae,50.0,10,0.63979973554993,0.4962292609351433,0.7085168869309838,0.8385547928832429,0.4405286343612334
"(0.06, 0.36)",age,ffvae,50.0,100,0.6895269798871769,0.49019607843137253,0.6732745961820852,0.8590308370044052,0.5198237885462554
"(0.06, 0.36)",age,ffvae,50.0,1000,0.736696101687032,0.4954751131221719,0.6299559471365639,0.8576443670388962,0.6152716593245228
"(0.06, 0.36)",age,ffvae,100.0,10,0.6799888372834731,0.5324283559577677,0.7136563876651983,0.8480210360960284,0.5095447870778266
"(0.06, 0.36)",age,ffvae,100.0,100,0.7217726128065595,0.4879336349924584,0.6534508076358296,0.8737151248164464,0.5697503671071953
"(0.06, 0.36)",age,ffvae,100.0,1000,0.803429877542342,0.4939668174962292,0.6116005873715125,0.907488986784141,0.6989720998531572
"(0.1, 0.1)",age,ffvae,10.0,10,0.9159809562359653,0.6666666666666666,0.7201405152224823,0.9436573499407895,0.8813427010148321
"(0.1, 0.1)",age,ffvae,10.0,100,0.804283883154557,0.4773662551440328,0.6420765027322405,0.9422591276805204,0.6658860265417642
"(0.1, 0.1)",age,ffvae,10.0,1000,0.8804001503455057,0.4876543209876543,0.592896174863388,0.9591906616689393,0.8001561280249806
"(0.1, 0.1)",age,ffvae,50.0,10,0.8571958635710913,0.6415637860082305,0.730679156908665,0.9238784158101027,0.7736143637782983
"(0.1, 0.1)",age,ffvae,50.0,100,0.7350613428937655,0.48230452674897123,0.6733021077283373,0.8993239208108873,0.5698672911787667
"(0.1, 0.1)",age,ffvae,50.0,1000,0.8894228081841925,0.5308641975308642,0.6182669789227165,0.9509888447952909,0.8220140515222484
"(0.1, 0.1)",age,ffvae,100.0,10,0.8294378427347463,0.6,0.7271662763466042,0.9334621491450665,0.7127244340359095
"(0.1, 0.1)",age,ffvae,100.0,100,0.8606846503021366,0.4962962962962963,0.6061670569867291,0.9438204079303253,0.7751756440281031
"(0.1, 0.1)",age,ffvae,100.0,1000,0.8545330133672575,0.4823045267489712,0.6182669789227165,0.9642332299953323,0.7439500390320063
"(0.33, 0.33)",age,ffvae,10.0,10,0.916562284137919,0.5942028985507246,0.6768406961178046,0.9787966619201031,0.8390896921017403
"(0.33, 0.33)",age,ffvae,10.0,100,0.8568229714043486,0.5228329231610609,0.6385542168674698,0.9613744163578035,0.7499330655957163
