clr_ratio,sensattr,arch,fair_coeff,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.01, 0.01)",age,laftr-dp,0.1,0.8511072261072261,0.5378787878787878,0.7403846153846154,0.9643874643874645,0.6987179487179486
"(0.01, 0.01)",age,laftr-dp,0.5,0.8668414918414918,0.5492424242424242,0.7371794871794872,0.9672364672364672,0.7243589743589743
"(0.01, 0.01)",age,laftr-dp,1.0,0.8362470862470862,0.5454545454545454,0.7628205128205128,0.9643874643874645,0.6666666666666666
"(0.01, 0.01)",age,laftr-dp,2.0,0.8566433566433567,0.553030303030303,0.7435897435897436,0.9579772079772081,0.7115384615384616
"(0.01, 0.01)",age,laftr-dp,4.0,0.8496503496503497,0.5492424242424242,0.7403846153846154,0.9515669515669516,0.7051282051282052
"(0.01, 0.01)",age,laftr-eqodd,0.1,0.8604312354312355,0.5568181818181818,0.7435897435897436,0.9579772079772081,0.717948717948718
"(0.01, 0.01)",age,laftr-eqodd,0.5,0.8342074592074592,0.5530303030303031,0.7660256410256411,0.9579772079772081,0.6666666666666666
"(0.01, 0.01)",age,laftr-eqodd,1.0,0.8458624708624708,0.5454545454545454,0.7467948717948718,0.9579772079772081,0.6923076923076924
"(0.01, 0.01)",age,laftr-eqodd,2.0,0.8592657342657343,0.5568181818181818,0.7371794871794872,0.9487179487179488,0.7243589743589743
"(0.01, 0.01)",age,laftr-eqodd,4.0,0.8630536130536131,0.553030303030303,0.7435897435897436,0.9643874643874645,0.717948717948718
"(0.01, 0.01)",age,laftr-eqopp0,0.1,0.8522727272727272,0.5454545454545454,0.7467948717948718,0.9643874643874645,0.6987179487179488
"(0.01, 0.01)",age,laftr-eqopp0,0.5,0.8438228438228439,0.553030303030303,0.7564102564102564,0.9579772079772081,0.6858974358974358
"(0.01, 0.01)",age,laftr-eqopp0,1.0,0.8458624708624708,0.5378787878787878,0.7532051282051282,0.9736467236467236,0.6794871794871794
"(0.01, 0.01)",age,laftr-eqopp0,2.0,0.8534382284382284,0.5606060606060606,0.7532051282051282,0.9551282051282052,0.7051282051282052
"(0.01, 0.01)",age,laftr-eqopp0,4.0,0.8528554778554778,0.5492424242424242,0.7435897435897436,0.9579772079772081,0.7051282051282052
"(0.01, 0.01)",age,laftr-eqopp1,0.1,0.8534382284382285,0.553030303030303,0.7467948717948718,0.9579772079772081,0.705128205128205
"(0.01, 0.01)",age,laftr-eqopp1,0.5,0.8566433566433567,0.5606060606060607,0.7435897435897436,0.9487179487179488,0.717948717948718
"(0.01, 0.01)",age,laftr-eqopp1,1.0,0.8108974358974358,0.5265151515151515,0.7628205128205128,0.9579772079772081,0.6282051282051282
"(0.01, 0.01)",age,laftr-eqopp1,2.0,0.8362470862470862,0.5454545454545454,0.7692307692307692,0.9707977207977209,0.6602564102564102
"(0.01, 0.01)",age,laftr-eqopp1,4.0,0.8534382284382285,0.5530303030303031,0.7532051282051282,0.9643874643874644,0.6987179487179488
