clr_ratio,sensattr,arch,gamma,alpha,g_y_ratio,DP_mean,0-acc_mean,1-acc_mean,EqOp0_mean,EqOp1_mean
"(0.001, 0.001)",bck,ffvae,10.0,10,"(0.5, 0.5)",0.5411992521367521,0.9099893162393163,0.48317307692307704,0.39360934418476806,0.6643551049488553
"(0.001, 0.001)",bck,ffvae,10.0,100,"(0.5, 0.5)",0.664463141025641,0.9073851495726496,0.4955261752136753,0.2630902350610201,0.8302751101464692
"(0.001, 0.001)",bck,ffvae,10.0,1000,"(0.5, 0.5)",0.5482104700854701,0.9056490384615384,0.49959935897435903,0.6121388619974871,0.40729196605253337
"(0.001, 0.001)",bck,ffvae,50.0,10,"(0.5, 0.5)",0.6420272435897436,0.9081196581196581,0.48651175213675213,0.49333228472470586,0.6496182726963392
"(0.001, 0.001)",bck,ffvae,50.0,100,"(0.5, 0.5)",0.5741853632478633,0.9036458333333334,0.4819043803418803,0.5940929628998523,0.42409022485186254
"(0.001, 0.001)",bck,ffvae,50.0,1000,"(0.5, 0.5)",0.6470352564102564,0.9107905982905983,0.46120459401709407,0.4607758996448253,0.5924494746775992
"(0.001, 0.001)",bck,ffvae,100.0,10,"(0.5, 0.5)",0.6213274572649573,0.9119257478632479,0.5110176282051282,0.6762393815372892,0.49019682659240255
"(0.001, 0.001)",bck,ffvae,100.0,100,"(0.5, 0.5)",0.7252604166666666,0.9200721153846154,0.4041466346153846,0.31623742371840363,0.6558296415958877
"(0.001, 0.001)",bck,ffvae,100.0,1000,"(0.5, 0.5)",0.8236511752136751,0.906383547008547,0.49545940170940167,0.4630103826818124,0.6943061350564745
"(0.01, 0.01)",bck,ffvae,10.0,10,"(0.5, 0.5)",0.9718215811965812,0.9131944444444445,0.7149439102564102,0.8190049494743329,0.7839935514349049
"(0.01, 0.01)",bck,ffvae,10.0,100,"(0.5, 0.5)",0.9243456196581196,0.9154647435897436,0.7357104700854701,0.8974947096238345,0.7407805120310448
"(0.01, 0.01)",bck,ffvae,10.0,1000,"(0.5, 0.5)",0.7445245726495727,0.9119925213675213,0.6716746794871794,0.7338540278534585,0.7553902119679465
"(0.01, 0.01)",bck,ffvae,50.0,10,"(0.5, 0.5)",0.8448183760683761,0.9105902777777778,0.7385149572649573,0.9698268068889426,0.6679130478830184
"(0.01, 0.01)",bck,ffvae,50.0,100,"(0.5, 0.5)",0.8802751068376069,0.9188701923076922,0.7858573717948718,0.9826075047504674,0.7434894930013908
"(0.01, 0.01)",bck,ffvae,50.0,1000,"(0.5, 0.5)",0.7616853632478633,0.9139957264957265,0.6952457264957266,0.7028771095186407,0.795480113070127
"(0.01, 0.01)",bck,ffvae,100.0,10,"(0.5, 0.5)",0.913261217948718,0.9133279914529915,0.6749465811965812,0.8128131131837777,0.7089541563843107
"(0.01, 0.01)",bck,ffvae,100.0,100,"(0.5, 0.5)",0.8128004807692308,0.9068509615384616,0.6691706730769231,0.9503718659553604,0.5689057425925743
"(0.01, 0.01)",bck,ffvae,100.0,1000,"(0.5, 0.5)",0.8885550213675213,0.9182692307692307,0.6880341880341879,0.7280015329659458,0.8127055232356467
"(0.01, 0.99)",bck,ffvae,10.0,10,"(0.5, 0.5)",0.009014423076923017,0.4927884615384617,0.515758547008547,0.0002634005004608457,0.01801435730732766
